,Store Number,Year,Month,Full Packs Sold,Single Bottles Sold,Sale (Dollars),SMALL,LARGE,CHEAP,MIDPRICE,EXPENSIVE,BRANDY,GIN,OTHER,RUM,SCHNAPPS,SPIRITS,TEQUILA,VODKA,WHISKY
0,4463,2017,1,88,110,10317.89,56.0,50.0,25.0,75.0,6.0,1.0,2.0,9.0,12.0,10.0,0.0,0.0,40.0,32.0
1,4463,2017,2,86,139,10824.47,64.0,56.0,26.0,86.0,8.0,3.0,1.0,12.0,17.0,8.0,0.0,1.0,40.0,38.0
2,4463,2017,3,101,161,12745.05,83.0,56.0,36.0,95.0,8.0,0.0,2.0,18.0,14.0,13.0,0.0,2.0,45.0,45.0
3,4463,2017,4,99,161,12401.86,86.0,46.0,40.0,83.0,9.0,4.0,2.0,10.0,18.0,14.0,0.0,6.0,37.0,41.0
4,4463,2017,5,114,158,14075.23,77.0,67.0,42.0,91.0,11.0,2.0,1.0,16.0,21.0,10.0,1.0,5.0,49.0,39.0
5,4463,2017,6,127,170,16428.24,87.0,63.0,40.0,98.0,12.0,1.0,2.0,12.0,26.0,12.0,0.0,5.0,54.0,38.0
6,4463,2017,7,110,113,13167.37,64.0,60.0,31.0,83.0,10.0,3.0,4.0,14.0,14.0,7.0,0.0,4.0,41.0,37.0
7,4463,2017,8,77,119,10150.07,55.0,40.0,25.0,61.0,9.0,2.0,2.0,10.0,12.0,6.0,0.0,5.0,35.0,23.0
8,4463,2017,9,149,170,17540.82,91.0,72.0,45.0,110.0,8.0,3.0,0.0,20.0,19.0,12.0,1.0,6.0,56.0,46.0
9,4463,2017,10,92,143,12362.4,76.0,51.0,36.0,81.0,10.0,4.0,4.0,14.0,17.0,13.0,0.0,4.0,37.0,34.0
10,4463,2017,11,90,133,11043.76,59.0,47.0,26.0,73.0,7.0,1.0,2.0,9.0,18.0,7.0,0.0,2.0,33.0,34.0
11,4463,2017,12,166,269,22482.82,124.0,69.0,60.0,117.0,16.0,5.0,9.0,34.0,33.0,14.0,1.0,1.0,42.0,54.0
12,4463,2018,1,69,123,8676.57,62.0,36.0,27.0,64.0,7.0,4.0,1.0,9.0,8.0,9.0,0.0,3.0,36.0,28.0
13,4463,2018,2,90,144,11381.94,65.0,48.0,26.0,80.0,7.0,2.0,4.0,9.0,13.0,9.0,1.0,1.0,42.0,32.0
14,4463,2018,3,138,241,18470.0,105.0,70.0,50.0,109.0,16.0,5.0,7.0,23.0,26.0,7.0,1.0,4.0,52.0,50.0
